0, 192.168.1.5, 192.168.1.2,1,1555110069,917,0,0,152.8333333,1
1, 192.168.1.5, 192.184.69.163,1,1555110071,40,0,443,40,1
2, 192.168.1.5, 192.168.1.1,0,1555110071,220,0,53,110,1
3, 192.168.1.5, 192.168.1.1,0,1555110071,187,0,53,93.5,1
4, 192.168.1.5, 192.168.1.1,0,1555110072,164,0,53,82,1
5, 192.168.1.5, 192.168.1.1,0,1555110073,162,0,53,81,1
6, 192.168.1.5, 216.58.216.238,0,1555110074,3998,0,443,444.2222222,1
7, 192.168.1.5, 192.168.1.1,0,1555110075,169,0,53,84.5,1
0, 192.168.1.5, 104.244.42.193,1,1555110291,92,55449,443,46,1
1, 192.168.1.5, 104.244.42.131,1,1555110291,92,55447,443,46,1
2, 192.168.1.5, 104.244.42.8,1,1555110291,92,55444,443,46,1
3, 192.168.1.5, 151.101.200.233,1,1555110292,92,56113,443,46,1
4, 192.168.1.5, 13.249.139.202,1,1555110292,92,56112,443,46,1
5, 192.168.1.5, 151.101.202.109,1,1555110292,92,56110,443,46,1
6, 192.168.1.5, 151.101.185.194,1,1555110293,92,56119,443,46,1
7, 192.168.1.5, 35.190.88.7,1,1555110293,92,56116,443,46,1
8, 192.168.1.5, 104.244.42.193,1,1555110293,92,55443,443,46,1
9, 192.168.1.5, 151.101.185.194,1,1555110293,92,56118,443,46,1
10, 192.168.1.5, 13.249.141.86,1,1555110293,92,56117,443,46,1
11, 23.45.146.221, 192.168.1.5,1,1555110293,123,443,55654,61.5,1
12, 34.195.53.124, 192.168.1.5,1,1555110294,633,443,56133,126.6,1
13, 192.168.1.5, 192.168.1.1,0,1555110294,212,59211,53,106,1
14, 192.168.1.5, 17.248.185.132,1,1555110294,2335,55889,443,333.5714286,1
15, 192.168.1.5, 35.227.255.136,1,1555110294,92,56123,443,46,1
16, 192.168.1.5, 104.17.70.206,1,1555110294,80,56115,443,40,1
17, 192.168.1.5, 104.16.24.4,1,1555110294,80,56108,443,40,1
18, 192.168.1.5, 130.211.16.53,1,1555110294,92,56106,443,46,1
19, 192.168.1.5, 151.101.200.233,1,1555110295,92,56125,443,46,1
20, 192.168.1.5, 151.101.200.233,1,1555110295,92,56114,443,46,1
21, 192.168.1.5, 192.168.1.2,1,1555110295,917,55263,8009,152.8333333,1
22, 192.168.1.5, 192.168.1.1,0,1555110297,132,37022,53,66,1
